MATCHID,ROUND,HOME_TEAM_ID,HOME_TEAM,AWAY_TEAM_ID,AWAY_TEAM,SCORE_STR,STATUS
2486258,1,979989,HLA ALICANTE,981493,CLOUD.GAL OURENSE BALONCESTO,87-76,PLAYED
2486259,1,981300,HESTIA MENORCA,981421,MONBUS OBRADOIRO,97-77,PLAYED
2486260,1,981215,PALMER BASKET MALLORCA PALMA,981343,SUPER AGROPAL PALENCIA,69-78,PLAYED
2486261,1,979920,GRUPO URETA TIZONA BURGOS,979769,MELILLA CIUDAD DEL DEPORTE,106-91,PLAYED
2486262,1,981203,INVEREADY GIPUZKOA,980004,LEYMA CORUNA,63-79,PLAYED
2486264,1,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,981214,FIBWI MALLORCA BASQUET PALMA,72-70,PLAYED
2486265,1,981124,ALIMERKA OVIEDO BALONCESTO,981431,MOVISTAR ESTUDIANTES,87-101,PLAYED
2486266,1,979907,GRUPO ALEGA CANTABRIA,981125,CAJA RURAL CB ZAMORA,72-96,PLAYED
2486267,2,981300,HESTIA MENORCA,981214,FIBWI MALLORCA BASQUET PALMA,70-71,PLAYED
2486268,2,980004,LEYMA CORUNA,981124,ALIMERKA OVIEDO BALONCESTO,87-72,PLAYED
2486269,2,981421,MONBUS OBRADOIRO,979907,GRUPO ALEGA CANTABRIA,82-87,PLAYED
2486270,2,981431,MOVISTAR ESTUDIANTES,981203,INVEREADY GIPUZKOA,93-88,PLAYED
2486271,2,981525,FLEXICAR FUENLABRADA,979769,MELILLA CIUDAD DEL DEPORTE,82-73,PLAYED
2486272,2,981493,CLOUD.GAL OURENSE BALONCESTO,981215,PALMER BASKET MALLORCA PALMA,82-69,PLAYED
2486273,2,981343,SUPER AGROPAL PALENCIA,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,90-73,PLAYED
2486274,2,981125,CAJA RURAL CB ZAMORA,979920,GRUPO URETA TIZONA BURGOS,101-95,PLAYED
2486276,3,979989,HLA ALICANTE,981214,FIBWI MALLORCA BASQUET PALMA,81-74,PLAYED
2486277,3,981300,HESTIA MENORCA,980004,LEYMA CORUNA,80-102,PLAYED
2486279,3,979920,GRUPO URETA TIZONA BURGOS,981525,FLEXICAR FUENLABRADA,89-93,PLAYED
2486280,3,981203,INVEREADY GIPUZKOA,981421,MONBUS OBRADOIRO,95-96,PLAYED
2486281,3,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,981124,ALIMERKA OVIEDO BALONCESTO,82-78,PLAYED
2486282,3,979907,GRUPO ALEGA CANTABRIA,981343,SUPER AGROPAL PALENCIA,58-107,PLAYED
2486283,3,981125,CAJA RURAL CB ZAMORA,981493,CLOUD.GAL OURENSE BALONCESTO,84-94,PLAYED
2486284,3,979769,MELILLA CIUDAD DEL DEPORTE,981431,MOVISTAR ESTUDIANTES,70-82,PLAYED
2486285,4,981214,FIBWI MALLORCA BASQUET PALMA,981125,CAJA RURAL CB ZAMORA,88-83,PLAYED
2486286,4,980004,LEYMA CORUNA,981215,PALMER BASKET MALLORCA PALMA,91-75,PLAYED
